Simulation Number,FFR offset,RRH offset,Total Aero DF (N),Total Aero Drag (N),COP,CL,CD,CLA,CDA
1,-0.45,-0.3,7.91E+02,3.10E+02,4.88E+01,2.571132848,1.008190563,3.23E+00,1.24E+00
2,-0.45,-0.05,7.90E+02,3.06E+02,4.73E+01,2.566480567,0.9954101131,3.22E+00,1.22E+00
3,-0.45,0,7.92E+02,3.09E+02,4.74E+01,2.574195372,1.004810867,3.23E+00,1.23E+00
4,-0.45,0.2,8.33E+02,3.15E+02,4.72E+01,2.70566619,1.023681919,3.40E+00,1.26E+00
5,-0.45,0.45,7.43E+02,2.89E+02,4.54E+01,2.415292474,0.9402918237,3.03E+00,1.15E+00
20260321_B26_pitch_n0_73,-0.4034704455,0.3864442023,7.75E+02,2.90E+02,4.47E+01,2.45968229,9.19E-01,3.09E+00,1.15E+00
6,-0.3,-0.3,7.82E+02,3.18E+02,5.23E+01,2.541307032,1.032467828,3.19E+00,1.27E+00
7,-0.3,-0.05,7.76E+02,3.12E+02,4.91E+01,2.52088912,1.014823216,3.17E+00,1.24E+00
8,-0.3,0,8.11E+02,3.20E+02,4.93E+01,2.634043936,1.039675679,3.31E+00,1.27E+00
9,-0.3,0.15,7.80E+02,3.13E+02,4.81E+01,2.535084492,1.017561419,3.18E+00,1.25E+00
20260321_B26_pitch_n0_556,-0.3,0.3,7.57E+02,2.99E+02,4.38E+01,2.401726851,9.48E-01,3.02E+00,1.19E+00
10,-0.3,0.45,7.63E+02,2.96E+02,4.32E+01,2.480656441,0.9611913428,3.12E+00,1.18E+00
20260321_B26_pitch_n0_382,-0.211376205,0.2019845126,7.87E+02,3.22E+02,5.08E+01,2.495127769,1.02E+00,3.13E+00,1.28E+00
11,-0.15,-0.3,7.53E+02,3.16E+02,5.43E+01,2.446290784,1.027198102,3.07E+00,1.26E+00
12,-0.15,-0.05,7.66E+02,3.11E+02,5.18E+01,2.488071624,1.009151176,3.13E+00,1.24E+00
13,-0.15,0,8.07E+02,3.22E+02,5.14E+01,2.621195892,1.047296893,3.29E+00,1.28E+00
14,-0.15,0.2,7.67E+02,3.12E+02,4.97E+01,2.493769011,1.013102821,3.13E+00,1.24E+00
15,-0.15,0.45,7.72E+02,3.13E+02,4.71E+01,2.509285714,1.015707786,3.15E+00,1.25E+00
20260321_B26_pitch_n0_208,-0.1151610942,0.1099160718,7.83E+02,3.21E+02,5.17E+01,2.482419367,1.02E+00,3.12E+00,1.28E+00
16,0,-0.3,7.07E+02,3.14E+02,5.55E+01,2.299156376,1.020038347,2.89E+00,1.25E+00
17,0,-0.05,7.43E+02,3.12E+02,5.33E+01,2.414266216,1.015418562,3.03E+00,1.24E+00
20260321_B26_pitch_0,0,0,7.47E+02,3.18E+02,53.64258,2.371060345,1.01E+00,2.98E+00,1.27E+00
18,0,0.2,7.19E+02,2.96E+02,4.81E+01,2.335480307,0.9632282595,2.93E+00,1.18E+00
19,0,0.45,7.74E+02,3.22E+02,5.13E+01,2.514546341,1.046360328,3.16E+00,1.28E+00
20260321_B26_pitch_0_174,0.09645721952,-0.09182861077,6.98E+02,3.02E+02,53.78179,2.212968508,9.57E-01,2.78E+00,1.20E+00
20,0.15,-0.3,6.29E+02,2.89E+02,5.37E+01,2.043726115,0.9395612895,2.57E+00,1.15E+00
21,0.15,-0.05,7.02E+02,3.13E+02,5.53E+01,2.279835565,1.015581048,2.86E+00,1.25E+00
22,0.15,0,6.50E+02,2.91E+02,5.21E+01,2.113059925,0.9447686208,2.65E+00,1.16E+00
23,0.15,0.2,7.38E+02,3.21E+02,5.44E+01,2.398514234,1.04177304,3.01E+00,1.28E+00
24,0.15,0.45,7.69E+02,3.17E+02,5.23E+01,2.498371897,1.031061354,3.14E+00,1.26E+00
20260321_B26_pitch_0_348,0.1930232983,-0.1835466258,6.54E+02,2.94E+02,5.27E+01,2.075938285,9.32E-01,2.61E+00,1.17E+00
25,0.3,-0.3,5.94E+02,2.89E+02,5.61E+01,1.930563499,0.9397250747,2.42E+00,1.15E+00
26,0.3,-0.05,6.26E+02,2.95E+02,5.43E+01,2.035267126,0.9573254907,2.56E+00,1.17E+00
27,0.3,0,6.29E+02,2.97E+02,5.44E+01,2.04421877,0.9647263746,2.57E+00,1.18E+00
28,0.3,0.2,6.54E+02,2.94E+02,5.16E+01,2.124032237,0.9562966333,2.67E+00,1.17E+00
20260321_B26_pitch_0_522,0.3,0.3,6.80E+02,3.09E+02,57.74424,2.15848263,9.81E-01,2.71E+00,1.23E+00
29,0.3,0.45,6.82E+02,3.02E+02,5.04E+01,2.217275445,0.9827037567,2.78E+00,1.20E+00
